Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Distance_km,Order_Hour,Order_Day,Pickup_Delay_Minutes,Is_Weekend,Is_Peak_Hour,Delivery_Speed_km_per_hr
ialx566343618,37,4.9,22.745049,75.892471,22.765049,75.912471,2022-03-19,2025-11-16 11:30:00,2025-11-16 11:45:00,Sunny,High ,motorcycle ,Urban ,120,Clothing,3.0251492856773803,11,Saturday,15.0,1,0,0.025209577380644835
akqg208421122,34,4.5,12.913041,77.683237,13.043041,77.813237,2022-03-25,2025-11-16 19:45:00,2025-11-16 19:50:00,Stormy,Jam ,scooter ,Metropolitian ,165,Electronics,20.18352972873287,19,Friday,5.0,0,1,0.12232442259838104
njpu434582536,23,4.4,12.914264,77.6784,12.924264,77.6884,2022-03-19,2025-11-16 08:30:00,2025-11-16 08:45:00,Sandstorms,Low ,motorcycle ,Urban ,130,Sports,1.5527578022553539,8,Saturday,15.0,1,0,0.011944290786579645
rjto796129700,38,4.7,11.003669,76.976494,11.053669,77.026494,2022-04-05,2025-11-16 18:00:00,2025-11-16 18:10:00,Sunny,Medium ,motorcycle ,Metropolitian ,105,Cosmetics,7.790401360105807,18,Tuesday,10.0,0,1,0.07419429866767435
zguw716275638,32,4.6,12.972793,80.249982,13.012793,80.289982,2022-03-26,2025-11-16 13:30:00,2025-11-16 13:45:00,Cloudy,High ,scooter ,Metropolitian ,150,Toys,6.210137965623703,13,Saturday,15.0,1,0,0.04140091977082469
fxuu788413734,22,4.8,17.431668,78.408321,17.461668,78.438321,2022-03-11,2025-11-16 21:20:00,2025-11-16 21:30:00,Cloudy,Jam ,motorcycle ,Urban ,130,Toys,4.610365144356333,21,Friday,10.0,0,0,0.03546434726427949
njmo150975311,33,4.7,23.369746,85.33982,23.479746,85.44982,2022-03-04,2025-11-16 19:15:00,2025-11-16 19:30:00,Fog,Jam ,scooter ,Metropolitian ,200,Toys,16.600361127913082,19,Friday,15.0,0,1,0.08300180563956541
jvjc772545076,35,4.6,12.352058,76.60665,12.482058,76.73665,2022-03-14,2025-11-16 17:25:00,2025-11-16 17:30:00,Cloudy,Medium ,motorcycle ,Metropolitian ,160,Snacks,20.20525323529313,17,Monday,5.0,0,1,0.12628283272058208
uaeb808891380,22,4.8,17.433809,78.386744,17.563809,78.516744,2022-03-20,2025-11-16 20:55:00,2025-11-16 21:05:00,Stormy,Jam ,motorcycle ,Metropolitian ,170,Electronics,19.97552008622187,20,Sunday,10.0,1,0,0.11750305933071688
bgvc052754213,36,4.2,30.327968,78.046106,30.397968,78.116106,2022-02-12,2025-11-16 21:55:00,2025-11-16 22:10:00,Fog,Jam ,motorcycle ,Metropolitian ,230,Toys,10.280582064622465,21,Saturday,15.0,1,0,0.04469818288966289
